,precision,recall,f1-score,support
5050_guard,0.8692461641094062,0.7705499704316973,0.8169278996865204,1691.0
back1,0.8854166666666666,0.8421797593772116,0.8632571635836054,1413.0
back2,0.800711743772242,0.9138911454102355,0.8535660091047041,1231.0
closed_guard1,0.7788829380260138,0.8296658516707417,0.8034727703235991,1227.0
closed_guard2,0.648062015503876,0.7517985611510791,0.6960865945045795,1112.0
half_guard1,0.7566137566137566,0.6091586794462194,0.6749262536873156,939.0
half_guard2,0.5970326409495549,0.8518204911092294,0.7020237264480111,1181.0
mount1,0.645087585681645,0.712363330529857,0.6770583533173461,1189.0
mount2,0.814663951120163,0.6902502157031924,0.7473143390938813,1159.0
open_guard1,0.9159663865546218,0.6220672162333545,0.7409365558912386,1577.0
open_guard2,0.6545454545454545,0.832087015635622,0.7327147560610595,1471.0
side_control1,0.6612729234088457,0.5061932287365813,0.5734331150608045,1211.0
side_control2,0.6850551654964895,0.6560999039385207,0.6702649656526006,1041.0
standing,0.9077010192525481,0.958732057416268,0.9325189063408958,3344.0
takedown1,0.8385416666666666,0.3078393881453155,0.45034965034965035,523.0
takedown2,0.5322338830584707,0.6866537717601547,0.5996621621621622,517.0
turtle1,0.881767955801105,0.9349736379613357,0.9075916974694341,1707.0
turtle2,0.9339957416607523,0.8640840446487197,0.897680763983629,1523.0
accuracy,0.7828400399068839,0.7828400399068839,0.7828400399068839,0.7828400399068839
macro avg,0.7670443143826822,0.7411337927391854,0.7410992045956132,24056.0
weighted avg,0.7943027580183547,0.7828400399068839,0.780040073559218,24056.0
