,precision,recall,f1-score,support
5050_guard,0.8182302771855011,0.9077468953282082,0.8606672273619288,1691.0
back1,0.8820479585223591,0.9631988676574664,0.9208389715832206,1413.0
back2,0.9531656548135299,0.892770105605199,0.9219798657718121,1231.0
closed_guard1,0.7731707317073171,0.7750611246943765,0.7741147741147741,1227.0
closed_guard2,0.8344827586206897,0.7616906474820144,0.7964268923366243,1112.0
half_guard1,0.8087912087912088,0.3919062832800852,0.5279770444763271,939.0
half_guard2,0.7349218168279971,0.8357324301439458,0.7820919175911252,1181.0
mount1,0.6368821292775665,0.8452481076534903,0.7264185037947235,1189.0
mount2,0.6228462029355456,0.8421052631578947,0.7160674981658107,1159.0
open_guard1,0.9341825902335457,0.8370323398858592,0.882943143812709,1577.0
open_guard2,0.8194622279129321,0.8701563562202583,0.8440487965710518,1471.0
side_control1,0.715674362089915,0.48637489677952106,0.5791543756145526,1211.0
side_control2,0.6827033218785796,0.5725264169068204,0.6227795193312434,1041.0
standing,0.9393939393939394,0.9548444976076556,0.9470562064363043,3344.0
takedown1,0.7227722772277227,0.5583173996175909,0.6299892125134844,523.0
takedown2,0.6331877729257642,0.5609284332688588,0.5948717948717949,517.0
turtle1,0.9625073227885179,0.9625073227885179,0.9625073227885179,1707.0
turtle2,0.9034399517199758,0.9829284307288247,0.9415094339622642,1523.0
accuracy,0.8242850016627868,0.8242850016627868,0.8242850016627868,0.8242850016627868
macro avg,0.7987701391584782,0.777837545489255,0.7795245833943483,24056.0
weighted avg,0.8275737306385825,0.8242850016627868,0.8191131430996575,24056.0
