,precision,recall,f1-score,support
5050_guard,0.9947058823529412,1.0,0.9973459156590976,1691.0
back1,1.0,1.0,1.0,1413.0
back2,0.9959415584415584,0.9967506092607636,0.9963459196102314,1231.0
closed_guard1,0.997557003257329,0.9983700081499592,0.9979633401221996,1227.0
closed_guard2,0.9954669084315503,0.987410071942446,0.9914221218961625,1112.0
half_guard1,0.989451476793249,0.9989350372736954,0.9941706412294647,939.0
half_guard2,0.9823825503355704,0.9915325994919559,0.9869363674673409,1181.0
mount1,0.9883430474604497,0.9983179142136249,0.9933054393305439,1189.0
mount2,0.9982698961937716,0.9956859361518551,0.9969762419006479,1159.0
open_guard1,0.9974619289340102,0.9968294229549778,0.9971455756422455,1577.0
open_guard2,0.9972696245733789,0.9932019034670292,0.9952316076294278,1471.0
side_control1,0.9941569282136895,0.9834847233691164,0.9887920298879203,1211.0
side_control2,0.9961202715809894,0.9865513928914506,0.9913127413127413,1041.0
standing,0.9898839631062184,0.9949162679425837,0.992393736017897,3344.0
takedown1,0.9596928982725528,0.9560229445506692,0.9578544061302682,523.0
takedown2,0.967741935483871,0.9284332688588007,0.947680157946693,517.0
turtle1,1.0,1.0,1.0,1707.0
turtle2,0.9954188481675392,0.9986868023637557,0.9970501474926253,1523.0
accuracy,0.9930994346524775,0.9930994346524775,0.9930994346524775,0.9930994346524775
macro avg,0.9911035956443703,0.989173827937927,0.9901070216264171,24056.0
weighted avg,0.9930886240328508,0.9930994346524775,0.99307692075032,24056.0
