,precision,recall,f1-score,support
5050_guard,0.7571564885496184,0.9384979302188055,0.8381304462635332,1691.0
back1,0.8977955911823647,0.9511677282377919,0.9237113402061856,1413.0
back2,0.9406276505513147,0.90089358245329,0.9203319502074688,1231.0
closed_guard1,0.8357400722021661,0.7546862265688672,0.7931477516059957,1227.0
closed_guard2,0.8181818181818182,0.7850719424460432,0.8012849931161083,1112.0
half_guard1,0.8218694885361552,0.49627263045793396,0.6188579017264276,939.0
half_guard2,0.6848325673013789,0.8831498729889924,0.7714497041420119,1181.0
mount1,0.6369905956112852,0.8544995794785534,0.7298850574712644,1189.0
mount2,0.698948948948949,0.8032786885245902,0.7474909674829385,1159.0
open_guard1,0.9198913781398507,0.8592263792010146,0.8885245901639345,1577.0
open_guard2,0.8812818645302258,0.822569680489463,0.8509142053445851,1471.0
side_control1,0.7796901893287436,0.3740710156895128,0.5055803571428571,1211.0
side_control2,0.6722689075630253,0.6147934678194045,0.6422478675363773,1041.0
standing,0.9420677361853832,0.9482655502392344,0.9451564828614009,3344.0
takedown1,0.7156626506024096,0.5678776290630975,0.6332622601279317,523.0
takedown2,0.583793738489871,0.6131528046421664,0.5981132075471698,517.0
turtle1,0.9549393414211439,0.968365553602812,0.9616055846422339,1707.0
turtle2,0.9041013268998793,0.9842416283650689,0.9424709210939956,1523.0
accuracy,0.8268207515796475,0.8268207515796475,0.8268207515796475,0.8268207515796475
macro avg,0.8025466863458656,0.7844489939159246,0.7840091993712455,24056.0
weighted avg,0.8320000555409212,0.8268207515796475,0.8213169857738809,24056.0
